00,9,60,7f,fe,ff,fe
00,9,62,88,8,ff,bd
00,9,64,90,9,fe,fb
00,9,66,97,fa,fd,b9
00,9,68,9f,d3,fb,f8
00,9,6a,a7,8c,f9,ba
00,9,6c,af,1d,f7,0
00,9,6e,b6,7e,f3,cf
00,9,70,bd,a8,f0,28
00,9,72,c4,94,ec,11
00,9,74,cb,3a,e7,8c
00,9,76,d1,95,e2,9e
00,9,78,d7,9d,dd,4d
00,9,7a,dd,4d,d7,9d
00,9,7c,e2,9e,d1,95
00,9,7e,e7,8c,cb,3a
00,9,80,ec,11,c4,94
00,9,82,f0,28,bd,a8
00,9,84,f3,cf,b6,7e
00,9,86,f7,0,af,1d
00,9,88,f9,ba,a7,8c
00,9,8a,fb,f8,9f,d3
00,9,8c,fd,b9,97,fa
00,9,8e,fe,fb,90,9
00,9,90,ff,bd,88,8
00,9,92,ff,fe,7f,ff
00,9,94,ff,bd,77,f5
00,9,96,fe,fb,6f,f4
00,9,98,fd,b9,68,3
00,9,9a,fb,f8,60,2a
00,9,9c,f9,ba,58,71
00,9,9e,f7,0,50,e0
00,9,a0,f3,cf,49,7f
00,9,a2,f0,28,42,55
00,9,a4,ec,11,3b,69
00,9,a6,e7,8c,34,c3
00,9,a8,e2,9e,2e,68
00,9,aa,dd,4d,28,60
00,9,ac,d7,9d,22,b0
00,9,ae,d1,95,1d,5f
00,9,b0,cb,3a,18,71
00,9,b2,c4,94,13,ec
00,9,b4,bd,a8,f,d5
00,9,b6,b6,7e,c,2e
00,9,b8,af,1d,8,fd
00,9,ba,a7,8c,6,43
00,9,bc,9f,d3,4,5
00,9,be,97,fa,2,44
00,9,c0,90,9,1,2
00,9,c2,88,8,0,40
00,9,c4,7f,fe,0,0
00,9,c6,77,f5,0,40
00,9,c8,6f,f4,1,2
00,9,ca,68,3,2,44
00,9,cc,60,2a,4,5
00,9,ce,58,71,6,43
00,9,d0,50,e0,8,fd
00,9,d2,49,7f,c,2e
00,9,d4,42,55,f,d5
00,9,d6,3b,69,13,ec
00,9,d8,34,c3,18,71
00,9,da,2e,68,1d,5f
00,9,dc,28,60,22,b0
00,9,de,22,b0,28,60
00,9,e0,1d,5f,2e,68
00,9,e2,18,71,34,c3
00,9,e4,13,ec,3b,69
00,9,e6,f,d5,42,55
00,9,e8,c,2e,49,7f
00,9,ea,8,fd,50,e0
00,9,ec,6,43,58,71
00,9,ee,4,5,60,2a
00,9,f0,2,44,68,3
00,9,f2,1,2,6f,f4
00,9,f4,0,40,77,f5
00,9,f6,0,0,7f,fe
00,9,f8,0,40,88,8
00,9,fa,1,2,90,9
00,9,fc,2,44,97,fa
00,9,fe,4,5,9f,d3
00,a,0,6,43,a7,8c
00,a,2,8,fd,af,1d
00,a,4,c,2e,b6,7e
00,a,6,f,d5,bd,a8
00,a,8,13,ec,c4,94
00,a,a,18,71,cb,3a
00,a,c,1d,5f,d1,95
00,a,e,22,b0,d7,9d
00,a,10,28,60,dd,4d
00,a,12,2e,68,e2,9e
00,a,14,34,c3,e7,8c
00,a,16,3b,69,ec,11
00,a,18,42,55,f0,28
00,a,1a,49,7f,f3,cf
00,a,1c,50,e0,f7,0
00,a,1e,58,71,f9,ba
00,a,20,60,2a,fb,f8
00,a,22,68,3,fd,b9
00,a,24,6f,f4,fe,fb
00,a,26,77,f5,ff,bd
00,a,28,7f,fe,ff,fe
00,a,2a,88,8,ff,bd
00,a,2c,90,9,fe,fb
00,a,2e,97,fa,fd,b9
00,a,30,9f,d3,fb,f8
00,a,32,a7,8c,f9,ba
00,a,34,af,1d,f7,0
00,a,36,b6,7e,f3,cf
00,a,38,bd,a8,f0,28
00,a,3a,c4,94,ec,11
00,a,3c,cb,3a,e7,8c
00,a,3e,d1,95,e2,9e
00,a,40,d7,9d,dd,4d
00,a,42,dd,4d,d7,9d
00,a,44,e2,9e,d1,95
00,a,46,e7,8c,cb,3a
00,a,48,ec,11,c4,94
00,a,4a,f0,28,bd,a8
00,a,4c,f3,cf,b6,7e
00,a,4e,f7,0,af,1d
00,a,50,f9,ba,a7,8c
00,a,52,fb,f8,9f,d3
00,a,54,fd,b9,97,fa
00,a,56,fe,fb,90,9
00,a,58,ff,bd,88,8
00,a,5a,ff,fe,7f,ff
00,a,5c,ff,bd,77,f5
00,a,5e,fe,fb,6f,f4
00,a,60,fd,b9,68,3
00,a,62,fb,f8,60,2a
00,a,64,f9,ba,58,71
00,a,66,f7,0,50,e0
00,a,68,f3,cf,49,7f
00,a,6a,f0,28,42,55
00,a,6c,ec,11,3b,69
00,a,6e,e7,8c,34,c3
00,a,70,e2,9e,2e,68
00,a,72,dd,4d,28,60
00,a,74,d7,9d,22,b0
00,a,76,d1,95,1d,5f
00,a,78,cb,3a,18,71
00,a,7a,c4,94,13,ec
00,a,7c,bd,a8,f,d5
00,a,7e,b6,7e,c,2e
00,a,80,af,1d,8,fd
00,a,82,a7,8c,6,43
00,a,84,9f,d3,4,5
00,a,86,97,fa,2,44
00,a,88,90,9,1,2
00,a,8a,88,8,0,40
00,a,8c,7f,fe,0,0
00,a,8e,77,f5,0,40
00,a,90,6f,f4,1,2
00,a,92,68,3,2,44
00,a,94,60,2a,4,5
00,a,96,58,71,6,43
00,a,98,50,e0,8,fd
00,a,9a,49,7f,c,2e
00,a,9c,42,55,f,d5
00,a,9e,3b,69,13,ec
00,a,a0,34,c3,18,71
00,a,a2,2e,68,1d,5f
00,a,a4,28,60,22,b0
00,a,a6,22,b0,28,60
00,a,a8,1d,5f,2e,68
00,a,aa,18,71,34,c3
00,a,ac,13,ec,3b,69
