00,96,0,7f,fe,ff,fe
00,96,2,88,8,ff,bd
00,96,4,90,9,fe,fb
00,96,6,97,fa,fd,b9
00,96,8,9f,d3,fb,f8
00,96,a,a7,8c,f9,ba
00,96,c,af,1d,f7,0
00,96,e,b6,7e,f3,cf
00,96,10,bd,a8,f0,28
00,96,12,c4,94,ec,11
00,96,14,cb,3a,e7,8c
00,96,16,d1,95,e2,9e
00,96,18,d7,9d,dd,4d
00,96,1a,dd,4d,d7,9d
00,96,1c,e2,9e,d1,95
00,96,1e,e7,8c,cb,3a
00,96,20,ec,11,c4,94
00,96,22,f0,28,bd,a8
00,96,24,f3,cf,b6,7e
00,96,26,f7,0,af,1d
00,96,28,f9,ba,a7,8c
00,96,2a,fb,f8,9f,d3
00,96,2c,fd,b9,97,fa
00,96,2e,fe,fb,90,9
00,96,30,ff,bd,88,8
00,96,32,ff,fe,7f,ff
00,96,34,ff,bd,77,f5
00,96,36,fe,fb,6f,f4
00,96,38,fd,b9,68,3
00,96,3a,fb,f8,60,2a
00,96,3c,f9,ba,58,71
00,96,3e,f7,0,50,e0
00,96,40,f3,cf,49,7f
00,96,42,f0,28,42,55
00,96,44,ec,11,3b,69
00,96,46,e7,8c,34,c3
00,96,48,e2,9e,2e,68
00,96,4a,dd,4d,28,60
00,96,4c,d7,9d,22,b0
00,96,4e,d1,95,1d,5f
00,96,50,cb,3a,18,71
00,96,52,c4,94,13,ec
00,96,54,bd,a8,f,d5
00,96,56,b6,7e,c,2e
00,96,58,af,1d,8,fd
00,96,5a,a7,8c,6,43
00,96,5c,9f,d3,4,5
00,96,5e,97,fa,2,44
00,96,60,90,9,1,2
00,96,62,88,8,0,40
00,96,64,7f,ff,0,0
00,96,66,77,f5,0,40
00,96,68,6f,f4,1,2
00,96,6a,68,3,2,44
00,96,6c,60,2a,4,5
00,96,6e,58,71,6,43
00,96,70,50,e0,8,fd
00,96,72,49,7f,c,2e
00,96,74,42,55,f,d5
00,96,76,3b,69,13,ec
00,96,78,34,c3,18,71
00,96,7a,2e,68,1d,5f
00,96,7c,28,60,22,b0
00,96,7e,22,b0,28,60
00,96,80,1d,5f,2e,68
00,96,82,18,71,34,c3
00,96,84,13,ec,3b,69
00,96,86,f,d5,42,55
00,96,88,c,2e,49,7f
00,96,8a,8,fd,50,e0
00,96,8c,6,43,58,71
00,96,8e,4,5,60,2a
00,96,90,2,44,68,3
00,96,92,1,2,6f,f4
00,96,94,0,40,77,f5
00,96,96,0,0,7f,fe
00,96,98,0,40,88,8
00,96,9a,1,2,90,9
00,96,9c,2,44,97,fa
00,96,9e,4,5,9f,d3
00,96,a0,6,43,a7,8c
00,96,a2,8,fd,af,1d
00,96,a4,c,2e,b6,7e
00,96,a6,f,d5,bd,a8
00,96,a8,13,ec,c4,94
00,96,aa,18,71,cb,3a
00,96,ac,1d,5f,d1,95
00,96,ae,22,b0,d7,9d
00,96,b0,28,60,dd,4d
00,96,b2,2e,68,e2,9e
00,96,b4,34,c3,e7,8c
00,96,b6,3b,69,ec,11
00,96,b8,42,55,f0,28
00,96,ba,49,7f,f3,cf
00,96,bc,50,e0,f7,0
00,96,be,58,71,f9,ba
00,96,c0,60,2a,fb,f8
00,96,c2,68,3,fd,b9
00,96,c4,6f,f4,fe,fb
00,96,c6,77,f5,ff,bd
00,96,c8,7f,fe,ff,fe
00,96,ca,88,8,ff,bd
00,96,cc,90,9,fe,fb
00,96,ce,97,fa,fd,b9
00,96,d0,9f,d3,fb,f8
00,96,d2,a7,8c,f9,ba
00,96,d4,af,1d,f7,0
00,96,d6,b6,7e,f3,cf
00,96,d8,bd,a8,f0,28
00,96,da,c4,94,ec,11
00,96,dc,cb,3a,e7,8c
00,96,de,d1,95,e2,9e
00,96,e0,d7,9d,dd,4d
00,96,e2,dd,4d,d7,9d
00,96,e4,e2,9e,d1,95
00,96,e6,e7,8c,cb,3a
00,96,e8,ec,11,c4,94
00,96,ea,f0,28,bd,a8
00,96,ec,f3,cf,b6,7e
00,96,ee,f7,0,af,1d
00,96,f0,f9,ba,a7,8c
00,96,f2,fb,f8,9f,d3
00,96,f4,fd,b9,97,fa
00,96,f6,fe,fb,90,9
00,96,f8,ff,bd,88,8
00,96,fa,ff,fe,7f,ff
00,96,fc,ff,bd,77,f5
00,96,fe,fe,fb,6f,f4
00,97,0,fd,b9,68,3
00,97,2,fb,f8,60,2a
00,97,4,f9,ba,58,71
00,97,6,f7,0,50,e0
00,97,8,f3,cf,49,7f
00,97,a,f0,28,42,55
00,97,c,ec,11,3b,69
00,97,e,e7,8c,34,c3
00,97,10,e2,9e,2e,68
00,97,12,dd,4d,28,60
00,97,14,d7,9d,22,b0
00,97,16,d1,95,1d,5f
00,97,18,cb,3a,18,71
00,97,1a,c4,94,13,ec
00,97,1c,bd,a8,f,d5
00,97,1e,b6,7e,c,2e
00,97,20,af,1d,8,fd
00,97,22,a7,8c,6,43
00,97,24,9f,d3,4,5
00,97,26,97,fa,2,44
00,97,28,90,9,1,2
00,97,2a,88,8,0,40
00,97,2c,7f,fe,0,0
00,97,2e,77,f5,0,40
00,97,30,6f,f4,1,2
00,97,32,68,3,2,44
00,97,34,60,2a,4,5
00,97,36,58,71,6,43
00,97,38,50,e0,8,fd
00,97,3a,49,7f,c,2e
00,97,3c,42,55,f,d5
00,97,3e,3b,69,13,ec
00,97,40,34,c3,18,71
00,97,42,2e,68,1d,5f
00,97,44,28,60,22,b0
00,97,46,22,b0,28,60
00,97,48,1d,5f,2e,68
00,97,4a,18,71,34,c3
00,97,4c,13,ec,3b,69
00,97,4e,f,d5,42,55
