00,1c,20,7f,fe,ff,fe
00,1c,22,88,8,ff,bd
00,1c,24,90,9,fe,fb
00,1c,26,97,fa,fd,b9
00,1c,28,9f,d3,fb,f8
00,1c,2a,a7,8c,f9,ba
00,1c,2c,af,1d,f7,0
00,1c,2e,b6,7e,f3,cf
00,1c,30,bd,a8,f0,28
00,1c,32,c4,94,ec,11
00,1c,34,cb,3a,e7,8c
00,1c,36,d1,95,e2,9e
00,1c,38,d7,9d,dd,4d
00,1c,3a,dd,4d,d7,9d
00,1c,3c,e2,9e,d1,95
00,1c,3e,e7,8c,cb,3a
00,1c,40,ec,11,c4,94
00,1c,42,f0,28,bd,a8
00,1c,44,f3,cf,b6,7e
00,1c,46,f7,0,af,1d
00,1c,48,f9,ba,a7,8c
00,1c,4a,fb,f8,9f,d3
00,1c,4c,fd,b9,97,fa
00,1c,4e,fe,fb,90,9
00,1c,50,ff,bd,88,8
00,1c,52,ff,fe,7f,fe
00,1c,54,ff,bd,77,f5
00,1c,56,fe,fb,6f,f4
00,1c,58,fd,b9,68,3
00,1c,5a,fb,f8,60,2a
00,1c,5c,f9,ba,58,71
00,1c,5e,f7,0,50,e0
00,1c,60,f3,cf,49,7f
00,1c,62,f0,28,42,55
00,1c,64,ec,11,3b,69
00,1c,66,e7,8c,34,c3
00,1c,68,e2,9e,2e,68
00,1c,6a,dd,4d,28,60
00,1c,6c,d7,9d,22,b0
00,1c,6e,d1,95,1d,5f
00,1c,70,cb,3a,18,71
00,1c,72,c4,94,13,ec
00,1c,74,bd,a8,f,d5
00,1c,76,b6,7e,c,2e
00,1c,78,af,1d,8,fd
00,1c,7a,a7,8c,6,43
00,1c,7c,9f,d3,4,5
00,1c,7e,97,fa,2,44
00,1c,80,90,9,1,2
00,1c,82,88,8,0,40
00,1c,84,7f,ff,0,0
00,1c,86,77,f5,0,40
00,1c,88,6f,f4,1,2
00,1c,8a,68,3,2,44
00,1c,8c,60,2a,4,5
00,1c,8e,58,71,6,43
00,1c,90,50,e0,8,fd
00,1c,92,49,7f,c,2e
00,1c,94,42,55,f,d5
00,1c,96,3b,69,13,ec
00,1c,98,34,c3,18,71
00,1c,9a,2e,68,1d,5f
00,1c,9c,28,60,22,b0
00,1c,9e,22,b0,28,60
00,1c,a0,1d,5f,2e,68
00,1c,a2,18,71,34,c3
00,1c,a4,13,ec,3b,69
00,1c,a6,f,d5,42,55
00,1c,a8,c,2e,49,7f
00,1c,aa,8,fd,50,e0
00,1c,ac,6,43,58,71
00,1c,ae,4,5,60,2a
00,1c,b0,2,44,68,3
00,1c,b2,1,2,6f,f4
00,1c,b4,0,40,77,f5
00,1c,b6,0,0,7f,fe
00,1c,b8,0,40,88,8
00,1c,ba,1,2,90,9
00,1c,bc,2,44,97,fa
00,1c,be,4,5,9f,d3
00,1c,c0,6,43,a7,8c
00,1c,c2,8,fd,af,1d
00,1c,c4,c,2e,b6,7e
00,1c,c6,f,d5,bd,a8
00,1c,c8,13,ec,c4,94
00,1c,ca,18,71,cb,3a
00,1c,cc,1d,5f,d1,95
00,1c,ce,22,b0,d7,9d
00,1c,d0,28,60,dd,4d
00,1c,d2,2e,68,e2,9e
00,1c,d4,34,c3,e7,8c
00,1c,d6,3b,69,ec,11
00,1c,d8,42,55,f0,28
00,1c,da,49,7f,f3,cf
00,1c,dc,50,e0,f7,0
00,1c,de,58,71,f9,ba
00,1c,e0,60,2a,fb,f8
00,1c,e2,68,3,fd,b9
00,1c,e4,6f,f4,fe,fb
00,1c,e6,77,f5,ff,bd
00,1c,e8,7f,fe,ff,fe
00,1c,ea,88,8,ff,bd
00,1c,ec,90,9,fe,fb
00,1c,ee,97,fa,fd,b9
00,1c,f0,9f,d3,fb,f8
00,1c,f2,a7,8c,f9,ba
00,1c,f4,af,1d,f7,0
00,1c,f6,b6,7e,f3,cf
00,1c,f8,bd,a8,f0,28
00,1c,fa,c4,94,ec,11
00,1c,fc,cb,3a,e7,8c
00,1c,fe,d1,95,e2,9e
00,1d,0,d7,9d,dd,4d
00,1d,2,dd,4d,d7,9d
00,1d,4,e2,9e,d1,95
00,1d,6,e7,8c,cb,3a
00,1d,8,ec,11,c4,94
00,1d,a,f0,28,bd,a8
00,1d,c,f3,cf,b6,7e
00,1d,e,f7,0,af,1d
00,1d,10,f9,ba,a7,8c
00,1d,12,fb,f8,9f,d3
00,1d,14,fd,b9,97,fa
00,1d,16,fe,fb,90,9
00,1d,18,ff,bd,88,8
00,1d,1a,ff,fe,7f,ff
00,1d,1c,ff,bd,77,f5
00,1d,1e,fe,fb,6f,f4
00,1d,20,fd,b9,68,3
00,1d,22,fb,f8,60,2a
00,1d,24,f9,ba,58,71
00,1d,26,f7,0,50,e0
00,1d,28,f3,cf,49,7f
00,1d,2a,f0,28,42,55
00,1d,2c,ec,11,3b,69
00,1d,2e,e7,8c,34,c3
00,1d,30,e2,9e,2e,68
00,1d,32,dd,4d,28,60
00,1d,34,d7,9d,22,b0
00,1d,36,d1,95,1d,5f
00,1d,38,cb,3a,18,71
00,1d,3a,c4,94,13,ec
00,1d,3c,bd,a8,f,d5
00,1d,3e,b6,7e,c,2e
00,1d,40,af,1d,8,fd
00,1d,42,a7,8c,6,43
00,1d,44,9f,d3,4,5
00,1d,46,97,fa,2,44
00,1d,48,90,9,1,2
00,1d,4a,88,8,0,40
00,1d,4c,7f,ff,0,0
00,1d,4e,77,f5,0,40
00,1d,50,6f,f4,1,2
00,1d,52,68,3,2,44
00,1d,54,60,2a,4,5
00,1d,56,58,71,6,43
00,1d,58,50,e0,8,fd
00,1d,5a,49,7f,c,2e
00,1d,5c,42,55,f,d5
00,1d,5e,3b,69,13,ec
00,1d,60,34,c3,18,71
00,1d,62,2e,68,1d,5f
00,1d,64,28,60,22,b0
00,1d,66,22,b0,28,60
00,1d,68,1d,5f,2e,68
00,1d,6a,18,71,34,c3
00,1d,6c,13,ec,3b,69
00,1d,6e,f,d5,42,55
00,1d,70,c,2e,49,7f
00,1d,72,8,fd,50,e0
00,1d,74,6,43,58,71
00,1d,76,4,5,60,2a
00,1d,78,2,44,68,3
00,1d,7a,1,2,6f,f4
00,1d,7c,0,40,77,f5
00,1d,7e,0,0,7f,fe
00,1d,80,0,40,88,8
00,1d,82,1,2,90,9
00,1d,84,2,44,97,fa
00,1d,86,4,5,9f,d3
00,1d,88,6,43,a7,8c
00,1d,8a,8,fd,af,1d
00,1d,8c,c,2e,b6,7e
00,1d,8e,f,d5,bd,a8
00,1d,90,13,ec,c4,94
00,1d,92,18,71,cb,3a
00,1d,94,1d,5f,d1,95
00,1d,96,22,b0,d7,9d
00,1d,98,28,60,dd,4d
00,1d,9a,2e,68,e2,9e
00,1d,9c,34,c3,e7,8c
00,1d,9e,3b,69,ec,11
00,1d,a0,42,55,f0,28
00,1d,a2,49,7f,f3,cf
00,1d,a4,50,e0,f7,0
00,1d,a6,58,71,f9,ba
00,1d,a8,60,2a,fb,f8
00,1d,aa,68,3,fd,b9
00,1d,ac,6f,f4,fe,fb
00,1d,ae,77,f5,ff,bd
00,1d,b0,7f,ff,ff,fe
00,1d,b2,88,8,ff,bd
00,1d,b4,90,9,fe,fb
00,1d,b6,97,fa,fd,b9
00,1d,b8,9f,d3,fb,f8
00,1d,ba,a7,8c,f9,ba
00,1d,bc,af,1d,f7,0
00,1d,be,b6,7e,f3,cf
00,1d,c0,bd,a8,f0,28
00,1d,c2,c4,94,ec,11
00,1d,c4,cb,3a,e7,8c
00,1d,c6,d1,95,e2,9e
00,1d,c8,d7,9d,dd,4d
00,1d,ca,dd,4d,d7,9d
00,1d,cc,e2,9e,d1,95
00,1d,ce,e7,8c,cb,3a
00,1d,d0,ec,11,c4,94
00,1d,d2,f0,28,bd,a8
00,1d,d4,f3,cf,b6,7e
00,1d,d6,f7,0,af,1d
00,1d,d8,f9,ba,a7,8c
00,1d,da,fb,f8,9f,d3
00,1d,dc,fd,b9,97,fa
00,1d,de,fe,fb,90,9
00,1d,e0,ff,bd,88,8
00,1d,e2,ff,fe,7f,ff
00,1d,e4,ff,bd,77,f5
00,1d,e6,fe,fb,6f,f4
00,1d,e8,fd,b9,68,3
00,1d,ea,fb,f8,60,2a
00,1d,ec,f9,ba,58,71
00,1d,ee,f7,0,50,e0
00,1d,f0,f3,cf,49,7f
00,1d,f2,f0,28,42,55
00,1d,f4,ec,11,3b,69
00,1d,f6,e7,8c,34,c3
00,1d,f8,e2,9e,2e,68
00,1d,fa,dd,4d,28,60
00,1d,fc,d7,9d,22,b0
00,1d,fe,d1,95,1d,5f
00,1e,0,cb,3a,18,71
00,1e,2,c4,94,13,ec
00,1e,4,bd,a8,f,d5
00,1e,6,b6,7e,c,2e
00,1e,8,af,1d,8,fd
00,1e,a,a7,8c,6,43
00,1e,c,9f,d3,4,5
00,1e,e,97,fa,2,44
00,1e,10,90,9,1,2
00,1e,12,88,8,0,40
00,1e,14,7f,ff,0,0
00,1e,16,77,f5,0,40
00,1e,18,6f,f4,1,2
00,1e,1a,68,3,2,44
00,1e,1c,60,2a,4,5
00,1e,1e,58,71,6,43
00,1e,20,50,e0,8,fd
00,1e,22,49,7f,c,2e
00,1e,24,42,55,f,d5
00,1e,26,3b,69,13,ec
00,1e,28,34,c3,18,71
00,1e,2a,2e,68,1d,5f
00,1e,2c,28,60,22,b0
00,1e,2e,22,b0,28,60
00,1e,30,1d,5f,2e,68
00,1e,32,18,71,34,c3
00,1e,34,13,ec,3b,69
00,1e,36,f,d5,42,55
00,1e,38,c,2e,49,7f
00,1e,3a,8,fd,50,e0
00,1e,3c,6,43,58,71
00,1e,3e,4,5,60,2a
00,1e,40,2,44,68,3
00,1e,42,1,2,6f,f4
00,1e,44,0,40,77,f5
00,1e,46,0,0,7f,fe
00,1e,48,0,40,88,8
00,1e,4a,1,2,90,9
00,1e,4c,2,44,97,fa
00,1e,4e,4,5,9f,d3
00,1e,50,6,43,a7,8c
00,1e,52,8,fd,af,1d
00,1e,54,c,2e,b6,7e
00,1e,56,f,d5,bd,a8
00,1e,58,13,ec,c4,94
00,1e,5a,18,71,cb,3a
00,1e,5c,1d,5f,d1,95
00,1e,5e,22,b0,d7,9d
00,1e,60,28,60,dd,4d
00,1e,62,2e,68,e2,9e
00,1e,64,34,c3,e7,8c
00,1e,66,3b,69,ec,11
00,1e,68,42,55,f0,28
00,1e,6a,49,7f,f3,cf
00,1e,6c,50,e0,f7,0
00,1e,6e,58,71,f9,ba
00,1e,70,60,2a,fb,f8
00,1e,72,68,3,fd,b9
00,1e,74,6f,f4,fe,fb
00,1e,76,77,f5,ff,bd
00,1e,78,7f,ff,ff,fe
00,1e,7a,88,8,ff,bd
00,1e,7c,90,9,fe,fb
00,1e,7e,97,fa,fd,b9
00,1e,80,9f,d3,fb,f8
00,1e,82,a7,8c,f9,ba
00,1e,84,af,1d,f7,0
00,1e,86,b6,7e,f3,cf
00,1e,88,bd,a8,f0,28
00,1e,8a,c4,94,ec,11
00,1e,8c,cb,3a,e7,8c
00,1e,8e,d1,95,e2,9e
00,1e,90,d7,9d,dd,4d
00,1e,92,dd,4d,d7,9d
00,1e,94,e2,9e,d1,95
00,1e,96,e7,8c,cb,3a
00,1e,98,ec,11,c4,94
00,1e,9a,f0,28,bd,a8
00,1e,9c,f3,cf,b6,7e
00,1e,9e,f7,0,af,1d
00,1e,a0,f9,ba,a7,8c
00,1e,a2,fb,f8,9f,d3
00,1e,a4,fd,b9,97,fa
00,1e,a6,fe,fb,90,9
00,1e,a8,ff,bd,88,8
00,1e,aa,ff,fe,7f,ff
00,1e,ac,ff,bd,77,f5
00,1e,ae,fe,fb,6f,f4
00,1e,b0,fd,b9,68,3
00,1e,b2,fb,f8,60,2a
00,1e,b4,f9,ba,58,71
00,1e,b6,f7,0,50,e0
00,1e,b8,f3,cf,49,7f
00,1e,ba,f0,28,42,55
00,1e,bc,ec,11,3b,69
00,1e,be,e7,8c,34,c3
00,1e,c0,e2,9e,2e,68
00,1e,c2,dd,4d,28,60
00,1e,c4,d7,9d,22,b0
00,1e,c6,d1,95,1d,5f
00,1e,c8,cb,3a,18,71
00,1e,ca,c4,94,13,ec
00,1e,cc,bd,a8,f,d5
00,1e,ce,b6,7e,c,2e
00,1e,d0,af,1d,8,fd
00,1e,d2,a7,8c,6,43
00,1e,d4,9f,d3,4,5
00,1e,d6,97,fa,2,44
00,1e,d8,90,9,1,2
00,1e,da,88,8,0,40
00,1e,dc,7f,fe,0,0
00,1e,de,77,f5,0,40
00,1e,e0,6f,f4,1,2
00,1e,e2,68,3,2,44
00,1e,e4,60,2a,4,5
00,1e,e6,58,71,6,43
00,1e,e8,50,e0,8,fd
00,1e,ea,49,7f,c,2e
00,1e,ec,42,55,f,d5
00,1e,ee,3b,69,13,ec
00,1e,f0,34,c3,18,71
00,1e,f2,2e,68,1d,5f
00,1e,f4,28,60,22,b0
00,1e,f6,22,b0,28,60
00,1e,f8,1d,5f,2e,68
00,1e,fa,18,71,34,c3
00,1e,fc,13,ec,3b,69
00,1e,fe,f,d5,42,55
00,1f,0,c,2e,49,7f
00,1f,2,8,fd,50,e0
00,1f,4,6,43,58,71
00,1f,6,4,5,60,2a
00,1f,8,2,44,68,3
00,1f,a,1,2,6f,f4
00,1f,c,0,40,77,f5
00,1f,e,0,0,7f,fe
00,1f,10,0,40,88,8
00,1f,12,1,2,90,9
00,1f,14,2,44,97,fa
00,1f,16,4,5,9f,d3
00,1f,18,6,43,a7,8c
00,1f,1a,8,fd,af,1d
00,1f,1c,c,2e,b6,7e
00,1f,1e,f,d5,bd,a8
00,1f,20,13,ec,c4,94
00,1f,22,18,71,cb,3a
00,1f,24,1d,5f,d1,95
00,1f,26,22,b0,d7,9d
00,1f,28,28,60,dd,4d
00,1f,2a,2e,68,e2,9e
00,1f,2c,34,c3,e7,8c
00,1f,2e,3b,69,ec,11
00,1f,30,42,55,f0,28
00,1f,32,49,7f,f3,cf
00,1f,34,50,e0,f7,0
