00,8c,a0,7f,fe,ff,fe
00,8c,a2,88,8,ff,bd
00,8c,a4,90,9,fe,fb
00,8c,a6,97,fa,fd,b9
00,8c,a8,9f,d3,fb,f8
00,8c,aa,a7,8c,f9,ba
00,8c,ac,af,1d,f7,0
00,8c,ae,b6,7e,f3,cf
00,8c,b0,bd,a8,f0,28
00,8c,b2,c4,94,ec,11
00,8c,b4,cb,3a,e7,8c
00,8c,b6,d1,95,e2,9e
00,8c,b8,d7,9d,dd,4d
00,8c,ba,dd,4d,d7,9d
00,8c,bc,e2,9e,d1,95
00,8c,be,e7,8c,cb,3a
00,8c,c0,ec,11,c4,94
00,8c,c2,f0,28,bd,a8
00,8c,c4,f3,cf,b6,7e
00,8c,c6,f7,0,af,1d
00,8c,c8,f9,ba,a7,8c
00,8c,ca,fb,f8,9f,d3
00,8c,cc,fd,b9,97,fa
00,8c,ce,fe,fb,90,9
00,8c,d0,ff,bd,88,8
00,8c,d2,ff,fe,7f,ff
00,8c,d4,ff,bd,77,f5
00,8c,d6,fe,fb,6f,f4
00,8c,d8,fd,b9,68,3
00,8c,da,fb,f8,60,2a
00,8c,dc,f9,ba,58,71
00,8c,de,f7,0,50,e0
00,8c,e0,f3,cf,49,7f
00,8c,e2,f0,28,42,55
00,8c,e4,ec,11,3b,69
00,8c,e6,e7,8c,34,c3
00,8c,e8,e2,9e,2e,68
00,8c,ea,dd,4d,28,60
00,8c,ec,d7,9d,22,b0
00,8c,ee,d1,95,1d,5f
00,8c,f0,cb,3a,18,71
00,8c,f2,c4,94,13,ec
00,8c,f4,bd,a8,f,d5
00,8c,f6,b6,7e,c,2e
00,8c,f8,af,1d,8,fd
00,8c,fa,a7,8c,6,43
00,8c,fc,9f,d3,4,5
00,8c,fe,97,fa,2,44
00,8d,0,90,9,1,2
00,8d,2,88,8,0,40
00,8d,4,7f,fe,0,0
00,8d,6,77,f5,0,40
00,8d,8,6f,f4,1,2
00,8d,a,68,3,2,44
00,8d,c,60,2a,4,5
00,8d,e,58,71,6,43
00,8d,10,50,e0,8,fd
00,8d,12,49,7f,c,2e
00,8d,14,42,55,f,d5
00,8d,16,3b,69,13,ec
00,8d,18,34,c3,18,71
00,8d,1a,2e,68,1d,5f
00,8d,1c,28,60,22,b0
00,8d,1e,22,b0,28,60
00,8d,20,1d,5f,2e,68
00,8d,22,18,71,34,c3
00,8d,24,13,ec,3b,69
00,8d,26,f,d5,42,55
00,8d,28,c,2e,49,7f
00,8d,2a,8,fd,50,e0
00,8d,2c,6,43,58,71
00,8d,2e,4,5,60,2a
00,8d,30,2,44,68,3
00,8d,32,1,2,6f,f4
00,8d,34,0,40,77,f5
00,8d,36,0,0,7f,fe
00,8d,38,0,40,88,8
00,8d,3a,1,2,90,9
00,8d,3c,2,44,97,fa
00,8d,3e,4,5,9f,d3
00,8d,40,6,43,a7,8c
00,8d,42,8,fd,af,1d
00,8d,44,c,2e,b6,7e
00,8d,46,f,d5,bd,a8
00,8d,48,13,ec,c4,94
00,8d,4a,18,71,cb,3a
00,8d,4c,1d,5f,d1,95
00,8d,4e,22,b0,d7,9d
00,8d,50,28,60,dd,4d
00,8d,52,2e,68,e2,9e
00,8d,54,34,c3,e7,8c
00,8d,56,3b,69,ec,11
00,8d,58,42,55,f0,28
00,8d,5a,49,7f,f3,cf
00,8d,5c,50,e0,f7,0
00,8d,5e,58,71,f9,ba
00,8d,60,60,2a,fb,f8
00,8d,62,68,3,fd,b9
00,8d,64,6f,f4,fe,fb
00,8d,66,77,f5,ff,bd
00,8d,68,7f,fe,ff,fe
00,8d,6a,88,8,ff,bd
00,8d,6c,90,9,fe,fb
00,8d,6e,97,fa,fd,b9
