00,0,0,7f,ff,ff,fe
00,0,2,88,8,ff,bd
00,0,4,90,9,fe,fb
00,0,6,97,fa,fd,b9
00,0,8,9f,d3,fb,f8
00,0,a,a7,8c,f9,ba
00,0,c,af,1d,f7,0
00,0,e,b6,7e,f3,cf
00,0,10,bd,a8,f0,28
00,0,12,c4,94,ec,11
00,0,14,cb,3a,e7,8c
00,0,16,d1,95,e2,9e
00,0,18,d7,9d,dd,4d
00,0,1a,dd,4d,d7,9d
00,0,1c,e2,9e,d1,95
00,0,1e,e7,8c,cb,3a
00,0,20,ec,11,c4,94
00,0,22,f0,28,bd,a8
00,0,24,f3,cf,b6,7e
00,0,26,f7,0,af,1d
00,0,28,f9,ba,a7,8c
00,0,2a,fb,f8,9f,d3
00,0,2c,fd,b9,97,fa
00,0,2e,fe,fb,90,9
00,0,30,ff,bd,88,8
00,0,32,ff,fe,7f,ff
00,0,34,ff,bd,77,f5
00,0,36,fe,fb,6f,f4
00,0,38,fd,b9,68,3
00,0,3a,fb,f8,60,2a
00,0,3c,f9,ba,58,71
00,0,3e,f7,0,50,e0
00,0,40,f3,cf,49,7f
00,0,42,f0,28,42,55
00,0,44,ec,11,3b,69
00,0,46,e7,8c,34,c3
00,0,48,e2,9e,2e,68
00,0,4a,dd,4d,28,60
00,0,4c,d7,9d,22,b0
00,0,4e,d1,95,1d,5f
00,0,50,cb,3a,18,71
00,0,52,c4,94,13,ec
00,0,54,bd,a8,f,d5
00,0,56,b6,7e,c,2e
00,0,58,af,1d,8,fd
00,0,5a,a7,8c,6,43
00,0,5c,9f,d3,4,5
00,0,5e,97,fa,2,44
00,0,60,90,9,1,2
00,0,62,88,8,0,40
00,0,64,7f,ff,0,0
00,0,66,77,f5,0,40
00,0,68,6f,f4,1,2
00,0,6a,68,3,2,44
00,0,6c,60,2a,4,5
00,0,6e,58,71,6,43
00,0,70,50,e0,8,fd
00,0,72,49,7f,c,2e
00,0,74,42,55,f,d5
00,0,76,3b,69,13,ec
00,0,78,34,c3,18,71
00,0,7a,2e,68,1d,5f
00,0,7c,28,60,22,b0
00,0,7e,22,b0,28,60
00,0,80,1d,5f,2e,68
00,0,82,18,71,34,c3
00,0,84,13,ec,3b,69
00,0,86,f,d5,42,55
00,0,88,c,2e,49,7f
00,0,8a,8,fd,50,e0
00,0,8c,6,43,58,71
00,0,8e,4,5,60,2a
00,0,90,2,44,68,3
00,0,92,1,2,6f,f4
00,0,94,0,40,77,f5
00,0,96,0,0,7f,fe
00,0,98,0,40,88,8
00,0,9a,1,2,90,9
00,0,9c,2,44,97,fa
00,0,9e,4,5,9f,d3
00,0,a0,6,43,a7,8c
00,0,a2,8,fd,af,1d
00,0,a4,c,2e,b6,7e
00,0,a6,f,d5,bd,a8
00,0,a8,13,ec,c4,94
00,0,aa,18,71,cb,3a
00,0,ac,1d,5f,d1,95
00,0,ae,22,b0,d7,9d
00,0,b0,28,60,dd,4d
00,0,b2,2e,68,e2,9e
00,0,b4,34,c3,e7,8c
00,0,b6,3b,69,ec,11
00,0,b8,42,55,f0,28
00,0,ba,49,7f,f3,cf
00,0,bc,50,e0,f7,0
00,0,be,58,71,f9,ba
00,0,c0,60,2a,fb,f8
00,0,c2,68,3,fd,b9
00,0,c4,6f,f4,fe,fb
00,0,c6,77,f5,ff,bd
00,0,c8,7f,fe,ff,fe
00,0,ca,88,8,ff,bd
00,0,cc,90,9,fe,fb
00,0,ce,97,fa,fd,b9
00,0,d0,9f,d3,fb,f8
00,0,d2,a7,8c,f9,ba
00,0,d4,af,1d,f7,0
00,0,d6,b6,7e,f3,cf
00,0,d8,bd,a8,f0,28
00,0,da,c4,94,ec,11
00,0,dc,cb,3a,e7,8c
00,0,de,d1,95,e2,9e
00,0,e0,d7,9d,dd,4d
00,0,e2,dd,4d,d7,9d
00,0,e4,e2,9e,d1,95
00,0,e6,e7,8c,cb,3a
00,0,e8,ec,11,c4,94
00,0,ea,f0,28,bd,a8
00,0,ec,f3,cf,b6,7e
00,0,ee,f7,0,af,1d
00,0,f0,f9,ba,a7,8c
00,0,f2,fb,f8,9f,d3
00,0,f4,fd,b9,97,fa
00,0,f6,fe,fb,90,9
00,0,f8,ff,bd,88,8
00,0,fa,ff,fe,7f,ff
00,0,fc,ff,bd,77,f5
00,0,fe,fe,fb,6f,f4
00,1,0,fd,b9,68,3
00,1,2,fb,f8,60,2a
00,1,4,f9,ba,58,71
00,1,6,f7,0,50,e0
00,1,8,f3,cf,49,7f
00,1,a,f0,28,42,55
00,1,c,ec,11,3b,69
00,1,e,e7,8c,34,c3
00,1,10,e2,9e,2e,68
00,1,12,dd,4d,28,60
00,1,14,d7,9d,22,b0
00,1,16,d1,95,1d,5f
00,1,18,cb,3a,18,71
00,1,1a,c4,94,13,ec
00,1,1c,bd,a8,f,d5
00,1,1e,b6,7e,c,2e
00,1,20,af,1d,8,fd
00,1,22,a7,8c,6,43
00,1,24,9f,d3,4,5
00,1,26,97,fa,2,44
00,1,28,90,9,1,2
00,1,2a,88,8,0,40
